Customer_ID,Age,Gender,Income_Level,Marital_Status,Education_Level,Occupation,Location,Purchase_Category,Purchase_Amount,Frequency_of_Purchase,Purchase_Channel,Brand_Loyalty,Product_Rating,Time_Spent_on_Product_Research(hours),Social_Media_Influence,Discount_Sensitivity,Return_Rate,Customer_Satisfaction,Engagement_with_Ads,Device_Used_for_Shopping,Payment_Method,Time_of_Purchase,Discount_Used,Customer_Loyalty_Program_Member,Purchase_Intent,Shipping_Preference,Time_to_Decision
35-198-9248,103.0,Female,Middle,Widowed,High School,Middle,Rzewnie,Toys & Games,$600.0,3,In-Store,1,5,1.0,High,Somewhat Sensitive,1,10,High,Tablet,Other,3/4/2024,True,False,Impulsive,Express,10
03-950-6074,89.0,Female,Middle,Married,Master's,Middle,Strabychovo,Software & Apps,$600.0,2,Mixed,2,1,2.0,High,Not Sensitive,0,10,None,Smartphone,Cash,9/13/2024,True,True,Wants-based,No Preference,11
19-999-0134,72.0,Male,Middle,Widowed,Bachelor's,Middle,Hongqi,Health Care,$600.0,2,Online,2,3,2.0,Medium,Very Sensitive,0,1,Low,Tablet,Credit Card,12/6/2024,False,True,Impulsive,No Preference,3
57-989-1487,88.0,Female,Middle,Divorced,High School,High,Oeoh,Software & Apps,$600.0,5,In-Store,5,3,0.0,Medium,Somewhat Sensitive,1,1,High,Desktop,Cash,10/21/2024,True,True,Need-based,No Preference,2
07-816-2673,27.0,Female,Middle,Married,Master's,Middle,Topol’noye,Food & Beverages,$137.67,5,Online,4,5,1.0,High,Not Sensitive,1,1,Low,Tablet,Other,11/17/2024,False,False,Impulsive,Standard,1
70-761-3550,47.0,Male,High,Widowed,Master's,Middle,Kovářov,Books,$483.29,8,Online,2,1,0.0,High,Not Sensitive,2,1,High,Smartphone,Other,7/24/2024,True,False,Impulsive,No Preference,11
38-242-3251,106.0,Male,High,Divorced,Bachelor's,Middle,Majdal Banī Fāḑil,Arts & Crafts,$600.0,11,In-Store,4,2,1.0,None,Very Sensitive,1,3,Low,Desktop,PayPal,3/3/2024,True,False,Planned,Standard,6
95-525-0842,46.0,Male,High,Single,Master's,High,Delta del Tigre,Books,$512.1,12,Mixed,5,1,2.0,None,Somewhat Sensitive,1,3,Medium,Tablet,Debit Card,11/13/2024,False,False,Need-based,Standard,12
37-101-4922,56.0,Female,Middle,Married,Master's,High,Santa Cruz La Laguna,Mobile Accessories,$600.0,4,In-Store,2,3,0.0,None,Not Sensitive,0,8,Medium,Smartphone,Credit Card,12/24/2024,True,False,Wants-based,Standard,10
37-128-5425,99.0,Female,High,Widowed,Bachelor's,Middle,Manchester,Toys & Games,$600.0,6,Online,2,5,1.0,None,Very Sensitive,2,7,High,Tablet,Other,8/4/2024,True,True,Need-based,Express,6
27-439-9545,99.0,Female,High,Married,Bachelor's,High,Norrköping,Toys & Games,$600.0,6,Online,2,1,0.0,None,Very Sensitive,1,5,Medium,Tablet,Cash,8/25/2024,True,True,Planned,Standard,5
37-126-7954,122.0,Male,Middle,Divorced,Bachelor's,High,Sośno,Clothing,$600.0,2,Online,1,2,0.0,High,Somewhat Sensitive,1,6,None,Tablet,PayPal,8/17/2024,False,True,Wants-based,No Preference,14
82-990-0504,119.0,Female,Middle,Widowed,Bachelor's,Middle,Pélla,Groceries,$600.0,7,Online,1,2,0.0,None,Very Sensitive,1,2,Low,Tablet,PayPal,4/1/2024,True,False,Planned,No Preference,5
21-734-0212,129.0,Female,Middle,Widowed,High School,High,Namur,Beauty & Personal Care,$600.0,8,Mixed,3,1,2.0,Low,Somewhat Sensitive,0,9,High,Tablet,Credit Card,8/24/2024,False,True,Need-based,Standard,8
76-148-9413,103.0,Female,High,Widowed,Master's,Middle,Benevides,Arts & Crafts,$600.0,9,Mixed,5,2,0.0,Medium,Somewhat Sensitive,0,2,High,Smartphone,Credit Card,8/6/2024,True,False,Need-based,No Preference,12
53-639-3774,134.0,Female,Middle,Single,Bachelor's,Middle,Qinghaihu,Travel & Leisure (Flights,$600.0,7,Mixed,2,4,1.0,Medium,Very Sensitive,2,3,None,Desktop,Debit Card,2/1/2024,True,False,Need-based,Express,3
20-817-9584,70.0,Male,Middle,Widowed,Master's,Middle,Alfeizerão,Animal Feed,$600.0,7,Mixed,4,4,1.0,None,Somewhat Sensitive,2,1,Low,Tablet,Cash,6/17/2024,True,True,Impulsive,No Preference,6
18-655-3670,31.0,Male,Middle,Widowed,High School,High,Prostřední Bečva,Office Supplies,$167.13,9,In-Store,2,1,0.5,Medium,Not Sensitive,2,2,Low,Tablet,Credit Card,6/12/2024,False,False,Planned,No Preference,14
72-431-5021,66.0,Female,High,Married,Master's,High,Oeiras,Animal Feed,$600.0,6,Online,4,2,0.0,Medium,Not Sensitive,1,1,Low,Smartphone,Debit Card,12/16/2024,True,False,Impulsive,Standard,11
07-479-3919,51.0,Female,Middle,Single,High School,High,Kýthnos,Sports & Outdoors,$589.45,3,Online,3,1,2.0,Low,Very Sensitive,1,6,High,Desktop,Credit Card,10/31/2024,True,False,Planned,Express,8
17-032-6274,48.0,Female,High,Married,Bachelor's,High,Rizal,Books,$500.1,3,Online,3,5,2.0,High,Not Sensitive,2,7,Medium,Tablet,Cash,12/7/2024,True,True,Impulsive,Standard,4
64-166-9097,41.0,Female,High,Single,High School,High,Fullerton,Furniture,$423.85,6,In-Store,2,3,2.0,Medium,Very Sensitive,0,10,None,Smartphone,Debit Card,2/24/2024,False,False,Wants-based,No Preference,13
39-499-3854,78.0,Female,Middle,Married,Bachelor's,Middle,Huaidao,Hotels,$600.0,10,Online,5,3,0.0,High,Not Sensitive,2,10,Medium,Smartphone,PayPal,6/11/2024,False,False,Impulsive,Express,5
39-636-5871,94.0,Male,High,Divorced,Bachelor's,High,Bilice,Baby Products,$600.0,2,In-Store,2,4,1.0,None,Somewhat Sensitive,2,1,Medium,Tablet,Debit Card,11/24/2024,False,False,Impulsive,Express,1
71-667-2334,130.0,Male,High,Married,Bachelor's,Middle,Isla Verde,Travel & Leisure (Flights,$600.0,3,Mixed,2,3,2.0,None,Not Sensitive,0,6,Medium,Smartphone,Debit Card,7/9/2024,False,False,Planned,No Preference,8
35-192-9050,65.0,Female,Middle,Married,Bachelor's,High,Hunkuyi,Animal Feed,$600.0,9,In-Store,1,4,0.0,Medium,Very Sensitive,1,6,Low,Tablet,Debit Card,8/18/2024,True,True,Wants-based,Standard,1
91-440-0011,50.0,Female,Middle,Widowed,High School,Middle,Shiree,Sports & Outdoors,$585.48,9,Online,2,4,1.0,None,Somewhat Sensitive,0,8,High,Desktop,Credit Card,7/10/2024,True,False,Planned,Standard,5
20-830-4758,63.0,Female,Middle,Widowed,High School,Middle,Strezhevoy,Luxury Goods,$600.0,4,Mixed,1,3,0.0,High,Very Sensitive,2,3,None,Desktop,Cash,7/12/2024,True,False,Wants-based,Express,14
84-337-1016,72.0,Male,High,Widowed,High School,High,Longxing,Health Care,$600.0,8,Online,1,5,0.0,Low,Very Sensitive,0,3,High,Smartphone,Credit Card,10/5/2024,True,False,Planned,No Preference,3
09-346-4992,88.0,Male,High,Single,Master's,High,Jesús Menéndez,Electronics,$600.0,9,Mixed,2,1,1.0,High,Somewhat Sensitive,0,2,None,Tablet,Debit Card,9/20/2024,True,True,Need-based,Standard,8
75-083-3608,54.0,Male,Middle,Divorced,Master's,Middle,Hongguang,Sports & Outdoors,$600.0,2,Mixed,2,4,0.5,High,Somewhat Sensitive,2,4,High,Desktop,Credit Card,7/16/2024,False,False,Planned,Express,8
29-779-7209,48.0,Female,High,Widowed,Master's,High,Pilaya,Books,$488.28,5,In-Store,5,2,2.0,Low,Not Sensitive,0,7,Low,Tablet,Other,4/2/2024,False,False,Need-based,No Preference,8
12-409-5166,38.0,Male,Middle,Divorced,Bachelor's,High,Camp Ithier,Furniture,$406.71,11,Online,2,5,1.0,High,Not Sensitive,0,3,High,Desktop,Credit Card,6/21/2024,False,False,Need-based,No Preference,13
07-024-4995,41.0,Female,Middle,Widowed,High School,Middle,Holboo,Furniture,$378.8,11,In-Store,1,4,2.0,High,Very Sensitive,0,4,None,Tablet,Cash,3/11/2024,False,True,Wants-based,Express,4
74-478-5950,36.0,Female,Middle,Divorced,Bachelor's,Middle,Luxi,Home Appliances,$281.02,9,Mixed,3,1,1.0,High,Somewhat Sensitive,0,7,Low,Smartphone,Credit Card,2/26/2024,True,False,Wants-based,No Preference,13
31-395-1286,113.0,Male,High,Married,High School,High,Ostashkov,Health Supplements,$600.0,10,In-Store,4,4,0.0,Low,Somewhat Sensitive,1,1,Medium,Tablet,Other,6/14/2024,True,True,Wants-based,Standard,10
60-838-4334,45.0,Male,High,Single,Bachelor's,High,Hongshanzui,Books,$516.32,9,Mixed,2,5,1.0,Low,Somewhat Sensitive,0,1,Medium,Smartphone,Debit Card,3/24/2024,True,True,Wants-based,Express,1
71-197-8227,90.0,Male,Middle,Divorced,High School,High,Tocoa,Electronics,$600.0,4,Mixed,3,4,2.0,High,Very Sensitive,0,2,Low,Tablet,Cash,4/27/2024,False,True,Need-based,Standard,3
15-530-3861,121.0,Male,High,Divorced,High School,High,Bayan Tuohai,Clothing,$600.0,6,Online,4,5,0.0,Medium,Somewhat Sensitive,2,5,High,Tablet,Credit Card,11/7/2024,False,False,Planned,Standard,7
30-567-4471,121.0,Male,Middle,Married,Bachelor's,Middle,Parumasan,Clothing,$600.0,10,Online,3,2,2.0,Medium,Not Sensitive,1,8,None,Tablet,Credit Card,12/4/2024,False,True,Impulsive,Express,14
04-465-1819,137.0,Male,High,Widowed,Master's,Middle,Karpogory,Jewelry & Accessories,$600.0,5,In-Store,1,1,0.0,None,Not Sensitive,2,4,None,Desktop,Cash,4/18/2024,False,True,Planned,Express,12
69-692-0614,56.0,Female,Middle,Widowed,Bachelor's,High,Shāhzādpur,Mobile Accessories,$600.0,2,Online,4,2,2.0,None,Very Sensitive,1,3,None,Tablet,Cash,4/21/2024,True,True,Wants-based,Express,2
12-839-8066,89.0,Male,High,Divorced,Bachelor's,Middle,Muaratiga,Software & Apps,$600.0,6,In-Store,3,4,0.0,None,Very Sensitive,1,8,Low,Tablet,Other,9/25/2024,True,False,Need-based,Standard,7
05-465-8765,64.0,Female,High,Widowed,High School,Middle,Gjegjan,Luxury Goods,$600.0,7,Mixed,1,2,1.0,Low,Somewhat Sensitive,0,1,Medium,Desktop,Cash,12/9/2024,True,True,Need-based,No Preference,8
81-580-3810,26.0,Male,Middle,Married,High School,High,Créteil,Food & Beverages,$120.97,10,Online,1,2,1.0,Medium,Very Sensitive,2,6,Low,Smartphone,Cash,9/14/2024,False,True,Planned,Standard,7
74-353-6312,118.0,Female,Middle,Married,Bachelor's,Middle,Pameungpeuk,Groceries,$600.0,2,Online,5,2,2.0,Medium,Not Sensitive,2,4,High,Tablet,PayPal,3/29/2024,False,False,Wants-based,Express,9
78-824-1887,131.0,Male,Middle,Married,High School,Middle,Junshan,Travel & Leisure (Flights,$600.0,4,Mixed,1,5,0.0,High,Not Sensitive,0,4,High,Desktop,Other,6/6/2024,False,True,Impulsive,No Preference,13
31-218-0024,111.0,Female,High,Divorced,High School,Middle,Lewotola,Health Supplements,$600.0,11,Online,3,1,2.0,Low,Somewhat Sensitive,2,6,High,Desktop,Credit Card,4/8/2024,True,True,Planned,No Preference,10
15-711-4107,40.0,Male,High,Married,Bachelor's,High,Laocheng,Furniture,$394.91,10,Mixed,1,1,0.0,Low,Very Sensitive,1,5,High,Desktop,PayPal,8/11/2024,False,True,Need-based,No Preference,7
76-672-1193,128.0,Male,High,Divorced,High School,High,Guacarí,Travel & Leisure (Flights,$600.0,4,In-Store,1,4,0.0,High,Not Sensitive,1,6,High,Tablet,Debit Card,10/10/2024,False,True,Impulsive,Standard,8
46-503-5589,31.0,Female,High,Widowed,Master's,High,Sancang,Office Supplies,$201.33,2,Mixed,3,2,2.0,Low,Not Sensitive,0,1,High,Tablet,PayPal,6/15/2024,True,True,Need-based,Express,9
87-499-6916,26.0,Male,Middle,Married,High School,Middle,Ndewel,Food & Beverages,$73.36,4,In-Store,3,2,1.0,Medium,Very Sensitive,0,6,Medium,Smartphone,Debit Card,8/11/2024,False,True,Wants-based,No Preference,7
30-520-8656,75.0,Female,Middle,Married,Bachelor's,Middle,San Patricio,Health Care,$600.0,9,Online,4,4,1.0,High,Somewhat Sensitive,0,4,None,Tablet,Other,3/28/2024,True,True,Impulsive,No Preference,5
36-323-3504,27.0,Male,Middle,Widowed,Master's,High,Fengtai,Food & Beverages,$85.39,8,Online,5,3,0.0,None,Very Sensitive,2,1,High,Desktop,PayPal,5/13/2024,True,False,Need-based,No Preference,14
93-810-4051,129.0,Agender,High,Single,Master's,High,Ḑawrān ad Daydah,Beauty & Personal Care,$600.0,10,In-Store,3,2,0.0,None,Very Sensitive,0,3,Low,Smartphone,Cash,11/23/2024,True,True,Need-based,No Preference,14
66-515-3648,69.0,Female,Middle,Married,Bachelor's,Middle,Magdalena,Health Care,$600.0,7,Mixed,4,3,2.0,Low,Not Sensitive,0,9,None,Smartphone,Debit Card,9/18/2024,False,False,Impulsive,Standard,1
09-216-1957,137.0,Female,High,Divorced,Master's,Middle,Leśnica,Jewelry & Accessories,$600.0,5,In-Store,5,1,2.0,Medium,Somewhat Sensitive,0,5,High,Tablet,Credit Card,7/16/2024,False,False,Need-based,No Preference,12
23-253-2565,103.0,Female,High,Divorced,High School,High,Hinlayagan Ilaud,Toys & Games,$600.0,8,Online,4,1,0.0,Medium,Somewhat Sensitive,0,4,Medium,Smartphone,Debit Card,8/3/2024,True,False,Need-based,No Preference,8
74-509-4985,77.0,Female,High,Single,High School,Middle,Forshaga,Hotels,$600.0,5,In-Store,2,3,1.0,High,Very Sensitive,0,3,None,Smartphone,PayPal,6/28/2024,False,False,Planned,Standard,2
05-857-1572,67.0,Female,Middle,Widowed,Bachelor's,High,Rakszawa,Animal Feed,$600.0,8,Mixed,3,5,0.0,Medium,Not Sensitive,1,1,None,Smartphone,Other,3/18/2024,False,True,Need-based,No Preference,7
26-521-8328,42.0,Female,Middle,Divorced,Bachelor's,High,Fengjiang,Furniture,$375.22,5,Online,2,1,0.0,None,Somewhat Sensitive,0,4,High,Desktop,Other,10/15/2024,False,False,Wants-based,No Preference,14
31-147-6197,30.0,Male,High,Divorced,High School,High,Jiangcun,Office Supplies,$147.86,2,Mixed,5,5,1.0,Medium,Very Sensitive,1,3,None,Tablet,Debit Card,11/23/2024,False,False,Impulsive,Express,8
90-093-0469,69.0,Male,Middle,Divorced,Bachelor's,High,Ōkuchi,Health Care,$600.0,11,Online,5,4,0.0,Medium,Not Sensitive,1,8,Low,Desktop,Other,11/29/2024,False,False,Wants-based,No Preference,7
38-935-1865,128.0,Female,High,Widowed,Bachelor's,High,Novoukrainskiy,Beauty & Personal Care,$600.0,7,In-Store,3,1,1.0,High,Somewhat Sensitive,0,1,High,Smartphone,Cash,7/9/2024,True,True,Wants-based,No Preference,3
75-953-8663,76.0,Male,High,Single,Master's,Middle,Acobambilla,Hotels,$600.0,6,Mixed,4,5,1.0,Medium,Not Sensitive,1,2,None,Desktop,Cash,8/3/2024,False,False,Need-based,Standard,14
38-478-2681,36.0,Male,Middle,Single,Bachelor's,Middle,Kyonju,Home Appliances,$285.75,5,Online,3,1,1.0,None,Somewhat Sensitive,2,1,Low,Tablet,Cash,12/4/2024,True,True,Impulsive,Standard,1
70-895-5298,26.0,Female,Middle,Married,Master's,High,Pomar,Food & Beverages,$109.08,7,In-Store,2,5,0.0,High,Somewhat Sensitive,2,4,Medium,Tablet,Credit Card,6/13/2024,False,True,Need-based,No Preference,9
02-653-5884,105.0,Female,High,Married,Bachelor's,Middle,Zalţan,Arts & Crafts,$600.0,6,Online,5,3,2.0,High,Not Sensitive,2,7,Low,Desktop,PayPal,7/13/2024,True,False,Wants-based,No Preference,14
11-719-8800,24.0,Female,Middle,Widowed,Master's,High,Trélazé,Food & Beverages,$120.65,12,Mixed,4,5,0.0,Medium,Somewhat Sensitive,0,7,Medium,Smartphone,Credit Card,9/4/2024,False,False,Need-based,Standard,14
59-355-5251,70.0,Female,Middle,Widowed,High School,High,Messina,Animal Feed,$600.0,9,Mixed,4,2,1.0,Medium,Not Sensitive,1,5,Medium,Tablet,Credit Card,8/26/2024,True,True,Impulsive,Standard,3
82-572-9091,128.0,Female,Middle,Widowed,High School,Middle,Mrągowo,Travel & Leisure (Flights,$600.0,2,In-Store,5,5,2.0,Low,Not Sensitive,1,8,High,Desktop,Other,2/25/2024,True,True,Need-based,Express,4
86-044-1071,78.0,Female,Middle,Divorced,Master's,Middle,Ngawi,Hotels,$600.0,10,Mixed,1,2,0.0,None,Somewhat Sensitive,1,6,Low,Desktop,PayPal,4/15/2024,True,True,Wants-based,Standard,7
08-733-0300,49.0,Female,Middle,Widowed,Bachelor's,High,Oslo,Books,$481.14,10,Mixed,2,1,2.0,Low,Somewhat Sensitive,1,8,Low,Tablet,Credit Card,7/1/2024,True,False,Impulsive,Standard,2
70-108-1493,32.0,Female,Middle,Single,High School,High,Dobrica,Office Supplies,$187.28,3,In-Store,2,3,0.0,None,Not Sensitive,1,3,High,Desktop,Debit Card,8/30/2024,False,True,Wants-based,No Preference,1
46-230-8307,72.0,Female,High,Single,Master's,Middle,La Roche-sur-Yon,Health Care,$600.0,5,Online,1,2,2.0,High,Somewhat Sensitive,1,6,High,Desktop,Other,11/13/2024,True,False,Wants-based,No Preference,4
74-431-0242,72.0,Female,Middle,Widowed,Bachelor's,High,Point Pedro,Health Care,$600.0,4,In-Store,3,3,1.0,High,Not Sensitive,2,10,None,Desktop,Credit Card,12/27/2024,False,False,Wants-based,No Preference,3
78-272-6417,136.0,Female,Middle,Divorced,High School,High,Marseille,Jewelry & Accessories,$600.0,5,Mixed,5,4,0.0,Low,Somewhat Sensitive,1,2,None,Desktop,Debit Card,8/7/2024,True,True,Planned,No Preference,1
13-792-4356,24.0,Male,High,Divorced,Bachelor's,Middle,Tianbao,Gardening & Outdoors,$50.0,8,In-Store,5,1,1.0,High,Very Sensitive,1,2,Medium,Tablet,Credit Card,10/5/2024,False,False,Need-based,No Preference,11
04-563-9091,34.0,Male,Middle,Widowed,Master's,High,Puqian,Office Supplies,$207.61,7,Mixed,5,5,2.0,Low,Not Sensitive,2,2,Low,Smartphone,Credit Card,2/14/2024,False,False,Need-based,No Preference,12
79-592-5396,53.0,Female,High,Married,Master's,High,Binalbagan,Sports & Outdoors,$587.46,4,Online,3,3,1.0,High,Very Sensitive,1,1,Medium,Desktop,Debit Card,4/5/2024,True,True,Need-based,Standard,3
39-952-4459,84.0,Female,High,Divorced,High School,High,Tessalit,Electronics,$600.0,7,Online,3,3,0.0,Medium,Very Sensitive,2,5,Medium,Smartphone,PayPal,2/1/2024,True,False,Wants-based,Express,13
67-935-7964,33.0,Female,Middle,Single,High School,High,Nikolayevsk,Office Supplies,$208.54,4,In-Store,5,3,2.0,Low,Somewhat Sensitive,2,2,High,Tablet,Cash,11/9/2024,True,False,Need-based,Express,11
